PlayerId,Player,Team,Position,Games,Goals,Assists,Points,Shots,Shots Per Game,Shot Percentage,Points Per Game,Goals Per Game,Assists Per Game,PlusMinus,PIM,TOI Per Game
8481716,Dmitri Voronkov,CBJ,L,73,23,24,47,154,2.1095890410958904,14.935064935064934,0.6438356164383562,0.3150684931506849,0.3287671232876712,17,55,1007.2191
8479345,Jakob Chychrun,WSH,D,74,20,27,47,179,2.418918918918919,11.1731843575419,0.6351351351351351,0.2702702702702703,0.36486486486486486,17,52,1263.8513
8477346,MacKenzie Weegar,CGY,D,81,8,39,47,184,2.271604938271605,4.3478260869565215,0.5802469135802469,0.09876543209876543,0.48148148148148145,18,33,1449.8641
8477496,Elias Lindholm,BOS,C,82,17,30,47,152,1.853658536585366,11.18421052631579,0.573170731707317,0.2073170731707317,0.36585365853658536,-4,14,1084.6707
8481528,Dylan Cozens,OTT,C,82,16,31,47,188,2.292682926829268,8.51063829787234,0.573170731707317,0.1951219512195122,0.3780487804878049,-17,68,1023.6463
8477998,Warren Foegele,LAK,L,82,24,22,46,199,2.426829268292683,12.060301507537687,0.5609756097560976,0.2926829268292683,0.2682926829268293,36,24,970.1341
8480459,Pius Suter,VAN,C,81,25,21,46,138,1.7037037037037037,18.115942028985508,0.5679012345679012,0.30864197530864196,0.25925925925925924,2,18,1040.6419
8482089,Jake Neighbours,STL,L,82,22,24,46,122,1.4878048780487805,18.0327868852459,0.5609756097560976,0.2682926829268293,0.2926829268292683,0,56,953.6829
8481542,Moritz Seider,DET,D,82,8,38,46,162,1.975609756097561,4.938271604938271,0.5609756097560976,0.0975609756097561,0.4634146341463415,-5,40,1504.3292
8477479,Tyler Bertuzzi,CHI,L,82,23,23,46,131,1.5975609756097562,17.557251908396946,0.5609756097560976,0.2804878048780488,0.2804878048780488,-39,51,960.1707
8477416,Oliver Bjorkstrand,TBL,R,79,21,25,46,154,1.9493670886075949,13.636363636363635,0.5822784810126582,0.26582278481012656,0.31645569620253167,2,18,908.8987
8480849,Barrett Hayton,UTA,C,82,20,26,46,155,1.8902439024390243,12.903225806451612,0.5609756097560976,0.24390243902439024,0.3170731707317073,-6,45,966.0853
8482157,Will Cuylle,NYR,L,82,20,25,45,152,1.853658536585366,13.157894736842104,0.5487804878048781,0.24390243902439024,0.3048780487804878,12,42,904.6463
8478469,Thomas Chabot,OTT,D,80,9,36,45,179,2.2375,5.027932960893855,0.5625,0.1125,0.45,17,24,1381.45
8482113,Anton Lundell,FLA,C,79,17,28,45,158,2.0,10.759493670886076,0.569620253164557,0.21518987341772153,0.35443037974683544,17,36,1002.7468
8484153,Leo Carlsson,ANA,C,76,20,25,45,114,1.5,17.543859649122805,0.5921052631578947,0.2631578947368421,0.32894736842105265,6,14,974.421
8482109,Alexis Lafrenière,NYR,L,82,17,28,45,153,1.8658536585365855,11.11111111111111,0.5487804878048781,0.2073170731707317,0.34146341463414637,-13,38,1020.3292
8477476,Artturi Lehkonen,COL,L,69,27,18,45,148,2.1449275362318843,18.243243243243242,0.6521739130434783,0.391304347826087,0.2608695652173913,36,34,1222.8985
8476906,Shayne Gostisbehere,CAR,D,70,7,38,45,122,1.7428571428571429,5.737704918032787,0.6428571428571429,0.1,0.5428571428571428,1,52,1111.2571
8480012,Elias Pettersson,VAN,C,64,15,30,45,109,1.703125,13.761467889908257,0.703125,0.234375,0.46875,-10,14,1119.625
8484227,Will Smith,SJS,C,74,18,27,45,127,1.7162162162162162,14.173228346456693,0.6081081081081081,0.24324324324324326,0.36486486486486486,-15,18,951.1621
8476461,Sean Couturier,PHI,C,79,15,30,45,155,1.9620253164556962,9.67741935483871,0.569620253164557,0.189873417721519,0.379746835443038,1,41,1037.6202
8478366,Frank Vatrano,ANA,R,81,21,24,45,234,2.888888888888889,8.974358974358974,0.5555555555555556,0.25925925925925924,0.2962962962962963,-9,80,1052.716
8481601,Simon Holmstrom,NYI,R,75,20,25,45,96,1.28,20.833333333333336,0.6,0.26666666666666666,0.3333333333333333,5,8,1011.8933
8475786,Zach Hyman,EDM,L,73,27,17,44,210,2.8767123287671232,12.857142857142856,0.6027397260273972,0.3698630136986301,0.2328767123287671,9,32,1132.8904
8478038,Devon Toews,COL,D,76,10,34,44,138,1.8157894736842106,7.246376811594203,0.5789473684210527,0.13157894736842105,0.4473684210526316,30,26,1475.3684
8483445,Cutter Gauthier,ANA,L,82,20,24,44,190,2.317073170731707,10.526315789473683,0.5365853658536586,0.24390243902439024,0.2926829268292683,8,20,849.3292
8483524,Shane Wright,SEA,C,79,19,25,44,91,1.1518987341772151,20.87912087912088,0.5569620253164557,0.24050632911392406,0.31645569620253167,4,18,844.0886
